Season,Episode,Title,Airdate,Synopsis,Directed by,Written by
2,6,Terminal Leave,"November 16, 2004.",NCIS and the FBI must work together to find who is responsible for the attempted assassination of a Naval Commander and Iraqi veteran.,Jeff Woolnough,Roger Director
2,7,Call of Silence,"November 23, 2004.",An elderly veteran who served in World War 2 arrives in to NCIS to confess that he killed his best friend. It now falls to the NCIS team to figure out the truth before JAG gets involved.,Thomas J. Wright,Roger Director
2,8,Heart Break,"November 20, 2004.",The NCIS team investigate the death of a Naval Commander and they soon discover that the victim was not very well liked on the USS Kennedy while NCIS Special Agent Paula Cassidy returns to help the team with the case.,Dennis Smith,George Schenck & Frank Cardea
2,9,Forced Entry,"December 7, 2004.","The NCIS team investigate when the wife of a Marine shoots an intruder in self-defense and as the case progresses, the team find themselves heading into the world of cyber sex along with the revelation that the intruder and his ""sister"" are not who they appear to be.",Dennis Smith,Jesse Stern & John C. Kelley
2,10,Chained,"December 14, 2004.",Tony goes undercover as an escaped prisoner while the NCIS team soon find evidence suggesting that the man Tony is accompanying may be a serial killer.,Thomas J. Wright,Frank Military
2,11,Black Water,"January 11, 2005.",The NCIS team must find a motive for the death of a Navy officer who disappeared two years previously.,Terrence O'Hara,John C. Kelley & Juan Carlos Coto
2,12,Doppelgänger,"January 18, 2005.",The NCIS team investigate the alleged death of a Petty Officer and find themselves working with a team whose personalities are an exact match to their own but things take a turn when the Petty Officer is later found dead.,Terrence O'Hara,Jack Bernstein
2,13,The Meat Puzzle,"February 8, 2005.","Ducky's past comes back to haunt him, forcing the NCIS team to step to protect him as they also seek to determine who is responsible for the various meat puzzles. This also makes the debut appearance of Ducky's mother, Victoria Mallard.",Thomas J. Wright,Frank Military
2,14,Witness,"February 15, 2005.","The NCIS team investigate the claim of a young woman who believes that she saw a sailor being strangled but things take a turn for the worse when the woman herself is murdered, leaving McGee devastated and the team on the hunt to capture her killer.",James Whitmore Jr.,George Schenck & Frank Cardea
2,15,Caught on Tape,"February 22, 2005.",NCIS investigate the death of a Marine and soon discover evidence suggesting that a previously dismissed suspect is the true killer while McGee is left infected with poison ivy.,Jeff Woolnough,Chris Crowe & Gil Grant & John C. Kelley
2,16,Pop Life,"March 1, 2005.",The NCIS team tackle the case of a young Petty Officer who was found dead in a bed along with a bartender. It seems like a suicide until Ducky finds evidence suggesting otherwise and the team soon find that an unlikely suspect is responsible.,Thomas J. Wright,Frank Military
2,17,An Eye for an Eye,"March 22, 2005.","The NCIS team investigate when a package containing a pair of blue human eyeballs wind up in the locker of a civilian but when the Petty Officer commits suicide during the case, Tony and Kate head to Paraguay where they discover some horrifying secrets about the Officer's lecturer.",Dennis Smith,Steven Kane
2,18,Bikini Wax,"March 29, 2005.","The NCIS team investigate the death of a Petty Officer who drowned after having her head held down in a public toilet and soon discover that she was pregnant, leading them to a person who also happens to be the killer.",Stephen Cragg,David J. North
2,19,Conspiracy Theory,"April 12, 2005.","NCIS investigate a Petty Officer who claims that she was attacked by someone in body armor. It appears to be a simple case but tragedy strikes when the Officer is found dead, having allegedly committed suicide. Ducky however soon discovers that the victim was actually murdered, sending the team on a search for her killer as they uncover a trail of romance, sex and deception at the local mental institution that the Officer was staying at before she died.",Jeff Woolnough,Frank Military
2,20,Red Cell,"April 26, 2005.",A young college student discovers the body of a dead Marine and NCIS's investigation leads them to a Gunnery Sergeant who is not only the killer but also a rapist as well. This episode marks the debut appearance of Sarah McGee.,Dennis Smith,Christopher Silber
2,21,Hometown Hero,"May 3, 2005.","When a Petty Officer dies while serving in Iraq, the NCIS team investigate when the remains of a young girl who went missing during their high school years are discovered in a storage unit. The team face further pressure to clear the case as quick as possible upon learning that the Officer is up for a Silver Star.",James Whitmore Jr.,George Schenck & Frank Cardea
2,22,SWAK,"May 10, 2005.",NCIS faces a huge crisis when they become victims of a biological attack and one member of the NCIS team is left fighting for their life after falling victim to the deadly disease while the rest of the NCIS team must determine who is responsible.,Dennis Smith,Donald P. Bellisario
2,23,Twilight,"May 24, 2005.",NCIS investigate the deaths of two sailors who were mysteriously gunned down while on leave and soon find themselves facing an enemy from their past with the battle ultimately having very dramatic and life-changing consequences for the team when one member of the NCIS team is brutally murdered...,Thomas J. Wright,John C. Kelley
3,1,Kill Ari Part 1,"September 20, 2005.","As the NCIS team struggle to cope with Kate Todd's death at the hands of double agent Ari Haswari, Gibbs becomes fixated on avenging Kate by doing the only thing possible: killing Ari. This episode marked the debut appearance of Mossad Officer Ziva David and newly appointed NCIS Director Jennifer Shepard.",Dennis Smith,Donald P. Bellisario
3,2,Kill Ari Part 2,"September 27, 2005.","Gibbs races to save Ducky from Ari's clutches as the NCIS team continue to grieve over the murder of Agent Kate Todd but while Ziva David is a possible hindrance, she may also be the key to stopping Ari once for all.. This episode marked the final appearance of Caitlin Todd, Ari Haswari and Gerald Jackson although Kate and Ari would later return in the Season 9 episode, Life Before His Eyes (episode).",James Whitmore Jr.,Donald P. Bellisario
3,3,Mind Games,"October 4, 2005.","Gibbs interrogates a serial killer who's on Death Row as McGee and DiNozzo go in search of the killer's latest victims but when Agent Paula Cassidy is kidnapped, the team suspect that a copycat killer is on the loose.",William Webb,Jeffrey A. Kirkpatrick & John C. Kelley
3,4,Silver War,"October 11, 2005.","The NCIS team investigate when the remains of a Marine are discovered in a Civil War casket while Ziva David returns, having been appointed as the Mossad Liaison Officer to NCIS.",Terrence O'Hara,John C. Kelley & Joshua Lurie
3,5,Switch,"October 18, 2005.",The team investigate when a Petty Officer is found shot dead and soon discover that the victim may have been leading a double life.,Thomas J. Wright,Gil Grant
3,6,The Voyeur's Web,"October 25, 2005.","NCIS investigate when the wife of a Marine Sergeant is murdered while performing a strip-tease for her online viewers, only for the team to discover that nothing is what it appears to be. This episode marks the debut appearance of Charles ""Chip"" Sterling.",Dennis Smith,David J. North
3,7,Honor Code,"November 1, 2005.",The NCIS team investigated the alleged kidnapping of a Navy Lieutenant Commander.,Colin Bucksey,Christopher Silber
3,8,Under Covers,"November 8, 2005.","When the two bodies of a husband and his wife who were also assassins are brought to NCIS, the team believe that a possible assassination may occur during the Marine Corps Birthday Ball. As such, Tony and Ziva go undercover as the dead assassins in hopes of finding out the truth but all is not what it seems...",Aaron Lipstadt,L.D. Zlotoff
3,9,Frame-Up,"November 22, 2005.","The NCIS team are left stunned when evidence suggests that one of their own may be a killer. This episode also marks the final appearance of Charles ""Chip"" Sterling.",Thomas J. Wright,Laurence Walsh
3,10,Probie,"November 29, 2005.",NCIS race against the clock to protect McGee when it's revealed that the man he killed was a cop who was working undercover for the Metro Police Department.,Terrence O'Hara,George Schenck & Frank Cardea
3,11,Model Behavior,"December 13, 2005.",NCIS investigate when a model participating in a reality TV show is found dead on a military base.,Stephen Cragg,David J. North
3,12,Boxed In,"January 10, 2006.","When they come under fire while exploring a stockyard, Tony and Ziva are left trapped inside a shipping container. And with time of the essence, Gibbs and McGee race to save them before it's too late.",Dennis Smith,Dana Coen
3,13,Deception,"January 17, 2006.","On a Sunday, the NCIS team are summoned to the office to find a Navy Lieutenant Commander who has been abducted, only to discover that her personal life may hold the key as to why she was kidnapped in the first place.",Leslie Libman,Jack Bernstein
3,14,Light Sleeper,"January 24, 2006.",Two military wives are found dead and the NCIS team investigate the possibility that a North Korean sleeper cell may be responsible but all is not what it seems...,Colin Bucksey,Christopher Silber
3,15,Head Case,"February 7, 2006.","While arresting a group of Navy sailors who were operating an illegal chop shop, the NCIS team discover a severed head in the trunk of one of the stolen cars. The head is later identified as belonging to a Navy Captain and the team soon find themselves hunting down the people responsible.",Dennis Smith,George Schenck & Frank Cardea
3,16,Family Secret,"February 28, 2006.",The NCIS team investigate when an ambulance carrying the remains of a Marine explodes.,James Whitmore Jr.,Steven D. Binder
3,17,Ravenous,"March 7, 2006.",The remains of a Petty Officer are discovered in a park and further investigating reveals that there may be a serial killer who's using park accidents to cover up murders.,Thomas J. Wright,Richard C. Arthur
3,18,Bait,"March 14, 2006.","The NCIS team tries to stop a teenager from blowing up a school, only to discover that there's more to the case than meets the eye.",Terrence O'Hara,Laurence Walsh
3,19,Iced,"April 4, 2006.","The body of a Marine is discovered in a frozen pond, prompting the NCIS team to investigate where they learn that a dangerous street gang may be responsible.",Dennis Smith,Dana Coen
3,20,Untouchable,"April 18, 2006.",A Navy Lieutenant commits suicide and it looks like a simple case but things change when Abby discovers that someone else was in the room with the Lieutenant when she died.,Leslie Libman,George Schenck & Frank Cardea
3,21,Bloodbath,"April 25, 2006.",The NCIS team investigate a routine crime scene and soon discover that one of their own may be in grave danger.,Dennis Smith,Steven D. Binder
3,22,Jeopardy,"May 2, 2006.",NCIS must not only investigate the death of a drug dealer who died while in Ziva's custody but also save Director Sheppard when she is kidnapped by the dead dealer's brother.,James Whitmore Jr.,David J. North
3,23,Hiatus Part 1,"May 9, 2006.","An explosion on a foreign ship leaves Gibbs in a coma. As the NCIS team try to come to terms with the development, they find themselves chasing down a wanted terrorist while Tony assumes command of the team.",Dennis Smith,Donald P. Bellisario
3,24,Hiatus Part 2,"May 16, 2006.","After awakening from his coma, Gibbs struggles to remember who he is as the rest of the NCIS team continue searching for terrorist PinPin Pula.",Dennis Smith,Donald P. Bellisario
4,1,Shalom,"September 19, 2006.","Ziva goes on the run after witnessing an assassination. As NCIS attempt to find her, they must also solve the case and stop the FBI from arresting her.",William Webb,John C. Kelley & Donald P. Bellisario
4,2,Escaped,"September 26, 2006.","When his daughter's life is threatened, FBI agent Tobias Fornell turns to the NCIS team and a retired Gibbs for help.",Dennis Smith,Steven D. Binder & Christopher Silber
4,3,Singled Out,"October 3, 2006.","A Navy Lieutenant is kidnapped, forcing the NCIS team to investigate and they soon discover that it is much more than a simple kidnapping...",Terrence O'Hara,David J. North
4,4,Faking It,"October 10, 2006.",The team investigate the death of a Navy Petty Officer and discover that it may be connected to a case that Gibbs's mentor worked on during his time as an NIS agent.,Thomas J. Wright,Shane Brennan
4,5,Dead and Unburied,"October 17, 2006.",NCIS investigate when the badly decayed remains of a Lance Corporal with the Marines is discovered in a house up for sale.,Colin Bucksey,Nell Scovell
4,6,Witch Hunt,"October 31, 2006.","As Washington D.C. celebrates Halloween, the NCIS team find themselves launching a rescue operation as they battle to save a young girl who has been kidnapped while Abby's Halloween costume leaves the team stunned.",James Whitmore Jr.,Steven Kriozere
4,7,Sandblast,"November 7, 2006.","NCIS must work with the Army CID to uncover the truth behind an explosion at a golf course that has left a Marine Colonel dead while Tony must find a way to stop the victim's son from dropping out of college so that he can avenge his dead father. This episode marked the debut appearances of Lieutenant Colonel Hollis Mann, Tony's girlfriend Jeanne Benoit and terrorist Mamoun Sharif.",Dennis Smith,Robert Palm
4,8,Once a Hero,"November 14, 2006.",NCIS investigate when a Marine veteran falls to his death and the investigation uncovers evidence that an illegal human trafficking group might be operating in the D.C. area.,Thomas J. Wright,Shane Brennan
4,9,Twisted Sister,"November 21, 2006.",McGee risks his career as an NCIS Special Agent to help his younger sister who believes that she may have killed someone while the NCIS team investigate the death of a Navy sailor who may have a connection to McGee's sister.,Terrence O'Hara,Steven D. Binder
4,10,Smoked,"November 28, 2006.",The NCIS team investigate when the body of an alleged serial killer is found on a Marine base but they soon discover that an unlikely suspect is the true killer. This episode also marks the debut appearance of CIA agent Trent Kort.,Dennis Smith,John C. Kelley & Robert Palm
4,11,Driven,"December 12, 2006.","A Navy Lieutenant dies after suffering from high levels of C02 poisoning which came from the car, ""OTTO"" she was testing. The NCIS team investigate and discover the alleged suicide is actually a murder..",Dennis Smith,Richard C. Arthur & Nell Scovell & John C. Kelley
4,12,Suspicion,"January 16, 2007.","A intelligence officer for the Marines is found dead and NCIS head to the town to investigate the killing, only to discover that racism, prejudice and suspicion are alive and well among the town's population.",Colin Bucksey,Shane Brennan
4,13,Sharif Returns,"January 23, 2007.","A Marine Major's body is found in an underground sewer, prompting NCIS to investigate with the team and Army CID soon discovering that an old enemy is responsible.",Terrence O'Hara,Steven D. Binder
4,14,Blowback,"February 6, 2007.","NCIS must stop the sale of ""ARES"", a highly classified weapons system and an unlikely member of the NCIS team is sent undercover. This episode marks the first appearance of René Benoit AKA ""La Grenouille"" or the Frog.",Thomas J. Wright,Christopher Silber & David J. North & Shane Brennan
4,15,Friends and Lovers,"February 13, 2007.","The NCIS team investigate when the body of a sailor is found in an abandoned restaurant, only to discover that the sailor is not who he appeared to be.",Dennis Smith,John C. Kelley
4,16,Dead Man Walking,"February 20, 2007.",A Navy Lieutenant requests that NCIS investigate a murder- his.,Colin Bucksey,Nell Scovell
4,17,Skeletons,"February 27, 2007.","The NCIS team and Army CID investigate a explosion at a military cemetery mausoleum with both teams discovering the dismembered remains of many victims, leading them to suspect that a mass murderer is responsible.",James Whitmore Jr.,Jesse Stern
4,18,Iceman,"March 20, 2007.","A supposedly dead Marine regains consciousness on Ducky's table, prompting the NCIS team into launching an investigation while Gibbs soon discovers that the Marine is related to his mentor.",Thomas J. Wright,Shane Brennan
4,19,Grace Period,"April 3, 2007.","Two NCIS agents are killed in a suicide bombing and the NCIS team must investigate to determine who is the true mastermind behind the explosion. This episode marks the final, credited appearance of NCIS Special Agent Paula Cassidy.",James Whitmore Jr.,John C. Kelley
4,20,Cover Story,"April 10, 2007.","A Petty Officer is murdered and it appears that the killing is connected to McGee's new, unpublished book.",Dennis Smith,David J. North
4,21,Brothers in Arms,"April 21, 2007.","An informant of Jenny's is killed, prompting the NCIS team to investigate and they discover that it may be connected to international arms dealer, ""La Grenouille"" aka ""The Frog"".",Martha Mitchell,Steven D. Binder
4,22,In the Dark,"May 1, 2007.",The NCIS team investigate when a blind photographer's photos show a dead Petty Officer in them.,Thomas J. Wright,Steven D. Binder
4,23,Trojan Horse,"May 8, 2007.","With Gibbs having been appointed as the temporary Director of NCIS due to Jenny being in Paris, attending an Interpol conference, the NCIS team tackle the case of a man who was found in a cab heading for NCIS Headquarters.",Terrence O'Hara,Donald P. Bellisario & Shane Brennan
4,24,Angel of Death,"May 22, 2007.","With NCIS agents having been scheduled for polygraphs that Homeland Security arranged at the request of the CIA, Gibbs and McGee dig deep into the history of both Jenny and the Frog and discover a possible connection between the two in the form of Jenny's dead father while Tony and Jeanne fight for their lives after being taken hostage by a pair of drug dealers.",Dennis Smith,Donald P. Bellisario
5,1,Bury Your Dead,"September 25, 2007.","With Tony's cover having been blown, Jenny is forced to tell the NCIS team the truth about Tony's undercover assignment and the team are left horrified when they see footage of Tony's car blowing up, prompting them to wonder if Tony is really dead or if he is still alive while Jenny herself confronts an old enemy.",Thomas J. Wright,Shane Brennan
5,2,Family,"October 2, 2007.",The team investigate the death of a Petty Officer and soon find themselves not only trying to arrest the killer but to also arrest a kidnapped newborn baby.,Martha Mitchell,Steven D. Binder
5,3,Ex-File,"October 9, 2007.",A Marine Captain is found dead and Gibbs finds his past and present relationships threatening to collide with one another.,Dennis Smith,Alfonso H. Moreno
5,4,Identity Crisis,"October 16, 2007.","The NCIS team investigate when it's revealed that one of Ducky's cadavers was actually murdered. This episode marks the debut appearance of Dr. Jordan Hampton, a Medical Examiner and also a future love interest for Ducky.",Thomas J. Wright,Jesse Stern
5,5,Leap of Faith,"October 23, 2007.",A suicidal Navy Lieutenant is shot and falls to his death during a high-profile stand-off. The NCIS team investigate and discover that someone close to the victim is responsible. This episode marks the debut appearance of NCIS Intel Analyst Nikki Jardine.,Dennis Smith,George Schenck & Frank Cardea
5,6,Chimera,"October 30, 2007.","The NCIS team investigate the death of a sailor on board a top-secret Naval research ship and soon discover that there's a secret lurking on board the ship, one that could cost the NCIS team their lives.",Terrence O'Hara,Dan E. Fesman
5,7,Requiem,"November 6, 2007.",Gibbs aids a young woman who was his late daughter's best friend.,Tony Wharmby,Shane Brennan
5,8,Designated Target,"November 13, 2007.","The team investigate the killing of both an admiral and a cab driver, only for Gibbs to soon realize that it was the cab driver, not the admiral who was the true target and that an African-based assassination squad may be behind the killings.",Colin Bucksey,Reed Steiner
5,9,Lost and Found,"November 20, 2007.",The NCIS team discover that the father of a young boy may be a killer but all is not what it seems...,Martha Mitchell,David J. North
5,10,Corporal Punishment,"November 27, 2007.",NCIS investigate when a Marine up for a Silver Star escapes from the hospital he's in. This episode also marks the debut appearance of Corporal Damon Werth.,Arvin Brown,Jesse Stern
5,11,Tribes,"January 15, 2008.",The NCIS team investigate of a Muslim Marine. This is also the last NCIS episode to have been completed before the Writers Strike of 2008.,Colin Bucksey,Reed Steiner
5,12,Stakeout,"April 8, 2008.",The NCIS team must find a missing stolen Navy radar.,Tony Wharmby,George Schenck & Frank Cardea
