Season,Episode,Title,Airdate,Synopsis,Directed by,Written by
6,13,Broken Bird,"January 13, 2009.","The NCIS team investigate the murder of a sailor and the case soon becomes personal when Ducky is attacked and stabbed in the hand by a woman who then flees the scene. With two cases to tackle, the team must dig into Ducky's past and determine his time in Afghanistan serves as a possible motive for the attack.",James Whitmore Jr.,Jesse Stern
6,14,Love and War,"January 27, 2009.",A Navy captain goes missing and is soon found dead with the NCIS team soon suspecting that his death may be espionage-related.,Terrence O'Hara,Steven D. Binder & David J. North
6,15,Deliverance,"February 10, 2009.","The NCIS team investigate when a Marine's body is found and when his service number is found at the scene, Gibbs contacts his mentor for help.",Dennis Smith,Dan E. Fesman & Reed Steiner
6,16,Bounce,"February 17, 2009.",A man is found dead and DiNozzo discovers that the killing may be connected to a case that he investigated as the NCIS team leader three years ago....,Arvin Brown,David J. North & Steven D. Binder
6,17,South by Southwest,"February 24, 2009.","An NCIS Special Agent is murdered and the NCIS team discover that the killing may be connected to a woman residing in Arizona, sending Gibbs and Tony to Arizona where with the help of a local Sheriff, they must track down the woman before it's too late.",Thomas J. Wright,George Schenck & Frank Cardea
6,18,Knockout,"March 17, 2009.","A friend of Vance's is murdered, prompting Vance to travel to Chicago with McGee and Ziva. This has Gibbs digging into Vance's past where he soon discovers that nothing is what it appears to be...",Tony Wharmby,Jesse Stern
6,19,Hide and Seek,"March 24, 2009.",The team investigate when a gun is found in the possession of a twelve year old boy.,Dennis Smith,Dan E. Fesman
6,20,Dead Reckoning,"March 31, 2009.",Gibbs and Trent Kort work albeit grudgingly together to help stop a man who has suspected links to an international crime boss but the two men and the NCIS team soon discover that nothing is what it seems..,Terrence O'Hara,Reed Steiner & Christopher J. Waild & David J. North
6,21,Toxic,"April 7, 2009.",Abby joins a government project and the NCIS team soon discover that a government scientist previously associated with the project.,Thomas J. Wright,Steven D. Binder
6,22,Legend Part 1,"April 28, 2009.","When a Marine is found murdered in downtown D.C., the case has Gibbs and McGee traveling to Los Angeles where they work with their counterparts in the NCIS Office of Special Projects with both teams soon discovering that a terrorist cell may be responsible for the death. This episode along with ""Legend Part 2"" both serve as a backdoor pilot episode for the NCIS spin-off series, NCIS: Los Angeles.",Tony Wharmby,Shane Brennan
6,23,Legend Part 2,"May 5, 2009.","In Los Angeles, the OSP team along with Gibbs and McGee face a race against the clock to stop foreign agent, Mossad Officer Michael Rivkin from killing the members of the sleeper terrorist cell while back in D.C, Tony continue his own investigating into Ziva's private life, fearful that she may not be loyal to NCIS.",James Whitmore Jr.,Shane Brennan
6,24,Semper Fidelis,"May 12, 2009.","An agent with ICE is killed while on security detail at the house of SECNAV Phillip Davenport, prompting NCIS and the FBI to investigate. Meanwhile, Tony meets Ziva's boyfriend, Michael Rivkin for the first time with the two men later colliding in a fight that threatens to tear the main NCIS team apart.",Tony Wharmby,Jesse Stern
6,25,Aliyah,"May 19, 2009.","With Rivkin now dead, the NCIS team must pick up the pieces and investigate what happened while Ziva tries to come to terms with the aftermath. As McGee and Abby work the case in D.C., Gibbs, DiNozzo, Ziva and Vance arrive in Tel Aviv to hold a series of meetings with Ziva's father, Eli David who is demanding answers. However, when Gibbs later gets some unpleasant news, he makes a decision that may ultimately change the NCIS team forever...",Dennis Smith,David J. North
7,1,Truth or Consequences,"September 22, 2009.",DiNozzo is captured by a terrorist who is seeking revenge against both NCIS and Mossad.,Dennis Smith,Jesse Stern
7,2,Reunion,"September 29, 2009.","Three men are found dead and Gibbs, Tony and McGee investigate, searching for a motive. Meanwhile, Ziva returns and her future at NCIS now lies in the hands of both Gibbs and Vance.",Tony Wharmby,Steven D. Binder
7,3,The Inside Man,"October 6, 2009.","As NCIS investigate the death of a political blogger, they face heat from a Metro Police Department while Ziva, having resigned from Mossad for good begins the progress to become an NCIS Special Agent.",Thomas J. Wright,George Schenck & Frank Cardea
7,4,"Good Cop, Bad Cop","October 13, 2009.","Ziva's plans to become an NCIS Special Agent hit a snag when her application is rejected with Vance informing that she's under investigation due to the discovery of a Marine's badly decayed remains. As Gibbs, Tony, McGee, Abby and Ducky race to prove Ziva's innocence, the case is complicated further by the arrival a Mossad officer who also happens to be Ziva's commanding officer.",Leslie Libman,Jesse Stern & David J. North
7,5,Code of Conduct,"October 20, 2009.",The NCIS team investigate the death of a Marine and soon discover that the death is not a suicide but actually a murder while Ziva adjusts to her new role as an NCIS Special Agent.,Terrence O'Hara,Reed Steiner & Christopher J. Waild
7,6,Outlaws and In-Laws,"November 3, 2009.","NCIS investigate when the bodies of two dead men on board a boat named the ""Kelly"" wind up in a harbor. The case sends Gibbs and Vance to Mexico with Gibbs fearing the worse for his mentor and his mentor's family.",Tony Wharmby,Jesse Stern
7,7,Endgame,"November 10, 2009.","The NCIS team investigate when a doctor is found murdered with Vance soon revealing a personal connection to the killer. This is the second and final part of a crossover episode between NCIS: Los Angeles and NCIS with ""Endgame"" being credited as an official NCIS episode and also airing as part of NCIS Season 7.",James Whitmore Jr.,Gary Glasberg
7,8,Power Down,"November 17, 2009.","The NCIS team face their most challenging case to date when without any power, they must resort to old-school methods to solve the death of a Navy officer.",Thomas J. Wright,Steven D. Binder & David J. North
7,9,Child's Play,"November 24, 2009.","As they prepare to celebrate Thanksgiving, the NCIS team must tackle the case of a Marine who was found dead in a corn field and also protect a young girl from the killer.",William Webb,Reed Steiner
7,10,Faith,"December 15, 2009.",The NCIS team investigate the death of a Marine and discover that the killing may related to the fact that the victim recently converted to Muslim while Gibbs's father returns.,Arvin Brown,Gary Glasberg
7,11,Ignition,"January 5, 2010.","As the NCIS team investigate the circumstances surrounding the death of a Navy pilot, Gibbs meets a lawyer who has a strong grudge against him. This episode marked the debut appearance of Margaret Allison Hart.",Dennis Smith,Jesse Stern
7,12,Flesh and Blood,"January 12, 2010.","The NCIS team investigate an assassination attempt against a Saudi prince while Tony's father arrives to talk to his son. This episode also marked the debut appearance of Anthony D. DiNozzo, Sr.",Arvin Brown,George Schenck & Frank Cardea
7,13,Jet Lag,"January 26, 2010.","As Tony and Ziva head to Paris to bring a witness back to the United States, they discover that the witness is being targeted by a contract killer while back in the United States, Gibbs and McGee investigate the killing of a Marine who's more than he appears to be. This episode marked the debut appearance of D.C. madam Holly Snow.",Tony Wharmby,Christopher J. Waild
7,14,Masquerade,"February 2, 2010.",NCIS face a battle on their hands as they fight to stop a terrorist group who are planning on releasing dirty bombs on Washington D.C.,James Whitmore Jr.,Steven D. Binder
7,15,Jack-Knife,"February 9, 2010.",The NCIS team and FBI agent Tobias Fornell battle to stop and expose an illegal trucking operation while Ziva is later reunited with someone from the team's past.,Dennis Smith,Jesse Stern
7,16,Mother's Day,"March 2, 2010.","The NCIS team investigate the death of a Navy captain while Gibbs is reunited with his former mother in law, forcing Gibbs to confront his painful past head on. This episode also marked the debut appearance of Detective Philip McCadden.",Tony Wharmby,Gary Glasberg & Reed Steiner
7,17,Double Identity,"March 9, 2010.",NCIS investigate the shooting of a civilian and the team are left stunned when McGee uncovers evidence that the man was a Marine who went missing in Afghanistan six years ago while Ducky's strange behavior has Abby and Ziva concerned.,Mark Horowitz,George Schenck & Frank Cardea
7,18,Jurisdiction,"March 16, 2010.",NCIS and the CGIS Coast Guard Investigative Service Joint must together to solve the case of a dead Navy driver but things are not what they seem. This episode marked the debut appearance of CGIS agent Abigail Borin.,Terrence O'Hara,Lee David Zlotoff
7,19,Guilty Pleasure,"April 6, 2010.",The NCIS team investigate the death of a Navy Lieutenant and discover that a series of killings may be connected to a call-girl. This episode also marked the final appearances of both Madam Holly Snow and Metro Police Department Detective Philip McCadden.,James Whitmore Jr.,Reed Steiner & Christopher J. Waild
7,20,Moonlighting,"April 27, 2010.",The NCIS team investigate the death of a Petty Officer and soon uncover a conspiracy with a federal judge at the heart of it.,Thomas J. Wright,Steven D. Binder & Jesse Stern
7,21,Obsession,"May 4, 2010.","As the NCIS team investigate the death of a Lieutenant, DiNozzo develops a fascination with the victim's sister who is also a reporter.",Tony Wharmby,George Schenck & Frank Cardea
7,22,Borderland,"May 11, 2010.","As the NCIS team investigate the death of a Marine Corporal, they find evidence suggesting that the Corporal may have been a serial killer while Abby and McGee travel to Mexico with Abby soon discovering that the case she's been given concerns a well-known member of the NCIS team.",Terrence O'Hara,Steven D. Binder
7,23,Patriot Down,"May 18, 2010.",The NCIS team investigate the badly charred remains of a body and are left stunned when they discover that the body is that of a NCIS Special Agent while Abby takes matters into her own hands after Gibbs refuses to talk about what happened in Mexico.,Dennis Smith,Gary Glasberg
7,24,Rule Fifty-One,"May 25, 2010.","Now a prisoner of the head of the Reynosa Cartel, Gibbs finds that his past has come back to haunt him while Ziva is finally sworn as a citizen of the United States, having successfully passed her citizenship tests.",Dennis Smith,Jesse Stern
8,1,Spider and the Fly,"September 21, 2010.","The NCIS team go head to head against Paloma Reynosa and her brother, Alejandro Rivera in one final battle that could ultimately determine the fate of everyone Gibbs loves while Mike Franks returns to help Gibbs.",Dennis Smith,Gary Glasberg
8,2,Worst Nightmare,"September 28, 2010.","A gas attack results in the disappearance of a young girl. As NCIS fight to find and save the girl, they face resistance from the girl's grandfather.",Tony Wharmby,Steven D. Binder
8,3,Short Fuse,"October 5, 2010.","The NCIS team investigate the shooting of an alleged home invader, only to discover that the supposed invader was actually a hitman.",Leslie Libman,George Schenck & Frank Cardea
8,4,Royals and Loyals,"October 12, 2010.","The NCIS team investigate when an American sailor is found dead in a bathtub, leading them to uncover a web of espionage concerning a corrupt CIA agent and a Major with the British Navy who's more than he appears to be.",Arvin Brown,Reed Steiner
8,5,Dead Air,"October 19, 2010.","Three men at a radio station are brutally gunned down and as the NCIS team investigate, they find evidence suggesting that a home-grown terrorist group may be behind the killings.",Terrence O'Hara,Christopher J. Waild
8,6,Cracked,"October 26, 2010.","A Navy researcher dies after being struck by a bus and as the NCIS team investigate her death, Abby develops a fixation on solving the codes on the victim's body.",Tony Wharmby,Nicole Mirante-Matthews
8,7,Broken Arrow,"November 9, 2010.",The NCIS team investigate the death of a high-level executive and soon find evidence that a nuclear weapon that went missing 54 years ago may now in the hands of a lone group while Tony DiNozzo Senior returns and Gibbs enlists his help to solve the case much to Tony DiNozzo Junior's dismay.,Arvin Brown,George Schenck & Frank Cardea
8,8,Enemies Foreign,"November 16, 2010.","The NCIS team are given the assignment of guarding Eli David, the Director of Mossad and Ziva's estranged father who is being targeted by a rogue Palestinian terrorist group.",Dennis Smith,Jesse Stern
8,9,Enemies Domestic,"November 23, 2010.","In the aftermath of the attack that has left a Mossad officer dead and Vance badly injured, the NCIS team investigate the case while Gibbs digs into Vance's past and discover the truth behind Vance's friendship with Eli David.",Mark Horowitz,Jesse Stern
8,10,False Witness,"December 14, 2010.","When a Petty Officer who's also the sole witness in an upcoming murder case goes missing, a Deputy D.A. enlists the NCIS team's help to find him while McGee and Ziva try to find out why Tony has been acting so unusual.",James Whitmore Jr.,Steven D. Binder
8,11,Ships in the Night,"January 11, 2011.",The NCIS team investigate when a Marine is shot dead while on a dinner boat with his family and are assisted by CGIS agent Abigail Borin.,Thomas J. Wright,Reed Steiner & Christopher J. Waild
8,12,Recruited,"January 18, 2011.",The NCIS team investigate when a Naval recruiter is killed on the campus of a high school while Ducky's predecessor pays the NCIS office a visit.,Arvin Brown,Gary Glasberg
8,13,Freedom,"February 1, 2011.",A Marine is found dead in his backyard and the NCIS team must investigate but they soon discover that the Marine's wife has a dark secret.,Craig Ross Jr.,Nicole Mirante-Matthews
8,14,A Man Walks into a Bar,"February 8, 2011.",The NCIS team undergo psychological evaluations and meet someone who has a connection to a former member of the team.,James Whitmore Jr.,Gary Glasberg
8,15,Defiance,"February 15, 2011.",The NCIS team are assigned to protect the daughter of the Belgravian Defense Minister.,Dennis Smith,George Schenck & Frank Cardea
8,16,Kill Screen,"February 22, 2011.",The NCIS team investigate when a Marine is murdered and discovered that it could be connected to a potential attack on the Pentagon's computers.,Tony Wharmby,Steven D. Binder & Steven Kriozere
8,17,One Last Score,"March 1, 2011.",The NCIS team investigate the death of a former investigative assistant which may be connected to a high-profile fraud case while a new agent joins the Washington D.C. branch.,Michael Weatherly,Jesse Stern
8,18,Out of the Frying Pan,"March 22, 2011.",The NCIS team investigate the death of a retired Marine Colonel while Gibbs begins questioning Vance's motives for giving them the case.,Terrence O'Hara,"Reed Steiner & Christopher J. Waild & Leon Carroll, Jr."
8,19,Tell-All,"March 29, 2011.",The NCIS team along with FBI agent Tobias Fornell search for a manscript that may be connected to the death of a Naval officer and an FBI agent.,Kevin Rodney Sullivan,Andrew Bartels
8,20,Two-Faced,"April 5, 2011.",The NCIS team investigate the death of a Naval seaman and discover that the murder could be connected to a series of killings that have occurred at Naval ports all over the world.,Thomas J. Wright,Nicole Mirante-Matthews & Reed Steiner
8,21,Dead Reflection,"April 12, 2011.","As EJ Barrett and her team tackle the Port-to-Port case, Gibbs and his team handle their latest case: the murder of a Naval officer who worked at the Pentagon. It looks like a simple case but all is not what it seems.",William Webb,George Schenck & Frank Cardea
8,22,Baltimore,"May 3, 2011.","When his former partner is found murdered, DiNozzo investigates and finds himself remembering a series of events that led him from the Baltimore Police Department and later inspired him to join NCIS.",Terrence O'Hara,Steven D. Binder
8,23,Swan Song,"May 10, 2011.",The NCIS team investigate upon discovering that the Port-to-Port killer has managed to infiltrate the Navy Yard but they're all left shocked and devastated when a friend of the team becomes the serial killer's latest victim.,Tony Wharmby,Jesse Stern
8,24,Pyramid,"May 17, 2011.",A series of events lead NCIS into a final showdown with the psychopathic yet elusive Port-to-Port serial killer and the NCIS team find themselves on the hunt after two members of the agency are kidnapped.,Dennis Smith,Gary Glasberg
9,1,Nature of the Beast,"September 20, 2011.","When Tony is left injured after working on an assignment with the new Secretary of the Navy and suffering from amnesia, it falls to the NCIS team to determine what happened.",Tony Wharmby,Gary Glasberg
9,2,Restless,"September 27, 2011.","A homecoming party ends in tragedy when a Marine is stabbed to death, prompting the NCIS team to investigate.",James Whitmore Jr.,Steven D. Binder
9,3,The Penelope Papers,"October 4, 2011.",The team investigate the death of a Naval officer and discover that his murder may be connected to a top-secret project that was created thirty years ago while the team meet McGee's grandmother.,Arvin Brown,Nicole Mirante-Matthews
9,4,Enemy on the Hill,"October 11, 2011.",The NCIS team investigate when they learn that a Navy Commander is being targeted by a mysterious assassin while Abby discovers some startling secrets about her own family history.,Dennis Smith,George Schenck & Frank Cardea
9,5,Safe Harbor,"October 18, 2011.","The NCIS team investigate when a Coast Guard Officer is shot dead and with the help of CGIS agent Abigail Borin, uncover a possible terrorist plot that could destroy the Norfolk Naval Base.",Terrence O'Hara,Reed Steiner & Christopher J. Waild
9,6,Thirst,"October 25, 2011.",The NCIS team investigate when a Naval Lieutenant is found dead and they soon discover evidence that strongly suggests that they're dealing with a serial killer.,Thomas J. Wright,Scott Williams
9,7,Devil's Triangle,"November 1, 2011.","The NCIS team investigate the abduction of the current husband of Gibbs and Fornell's ex-wife, Diane Sterling.",Leslie Libman,Steven D. Binder & Reed Steiner
9,8,Engaged Part 1,"November 8, 2011.","NCIS investigate when a C-130 carrying the remains of Marines who were killed fighting in Afghanistan crashes into a field and evidence soon comes to light, suggesting that a supposedly dead Marine may actually be alive.",James Whitmore Jr.,Gina Lucita Monreal
9,9,Engaged Part 2,"November 15, 2011.",Gibbs and Ziva head to Afghanistan to rescue a kidnapped Marine from the clutches of a member of a terrorist organization and they and the rest of the NCIS team must stop a terrorist attack from happening.,Tony Wharmby,Gary Glasberg
9,10,Sins of the Father,"November 22, 2011.",DiNozzo is sidelined when his father becomes a suspect in the death of a man. This episode also marked the debut appearance of Ned Dorneget.,Arvin Brown,George Schenck & Frank Cardea
9,11,Newborn King,"December 13, 2011.","The NCIS team investigate the murder of a Navy captain and soon discover that it's his pregnant, female companion who is the true target. Worse still, there are Russian mercenaries after her, forcing Gibbs and Ziva into an intense gunfight when they become stranded at a gas station while DiNozzo and McGee race to save them before it's too late.",Dennis Smith,Christopher J. Waild
9,12,Housekeeping,"January 3, 2012.","The NCIS team investigate the death of a Navy Commander and in the process, Tony is reunited with someone from his past as an old enemy of the NCIS team returns. This episode also marked the final appearance of Erica Jane Barrett and Sean Latham.",Terrence O’Hara,Scott Williams
9,13,A Desperate Man,"January 10, 2012.","The NCIS team investigate the death of a Navy Commander but the investigation is hampered by the victim's grieving husband who also happens to be a Metro Police Department Detective while Ziva gets a shock when her boyfriend proposes to her. This episode also marked the final appearance of Ray Cruz, CIA agent and Ziva's boyfriend.",Leslie Libman,Nicole Mirante-Matthews
9,14,Life Before His Eyes,"February 7, 2012.","While in a stand-off at a diner, Gibbs finds himself being transported to a mysterious room in the diner where he relives the decisions that have shaped his life and wonders what could have been if certain scenarios hadn't played out while flashbacks show the team handling a case that later turns into international espionage concerning the Chinese.",Tony Wharmby,Gary Glasberg
9,15,Secrets,"February 14, 2012.",The NCIS team investigate the death of a Navy officer and soon uncover a society of real-life superheroes while DiNozzo gets a shock when his ex-fiancee returns.,Leslie Libman,Steven D. Binder
9,16,Psych Out,"February 21, 2012.",A Naval reservist is found dead and the NCIS team have to investigate to determine if it was a suicide or a murder. This episode also marked the debut appearance of Dr. Samantha Ryan.,Dennis Smith,Reed Steiner & Gary Glasberg
9,17,Need to Know,"February 28, 2012.",NCIS investigate the death of a Chief Petty Officer but find themselves suffering setbacks in the form of red tape and agents from the Defense Intelligence Agency.,Michelle MacLaren,George Schenck & Frank Cardea
9,18,The Tell,"March 20, 2012.",NCIS must work with Dr. Samantha Ryan to find a possible mole in the wake of a security breach being exposed.,Thomas J. Wright,Gina Lucita Monreal
9,19,The Good Son,"March 27, 2012.","The NCIS team investigate when a Petty Officer is found dead, having been stabbed while the team meet Vance's brother-in-law who soon becomes a potential suspect.",Terrence O'Hara,Nicole Mirante-Matthews & Scott Williams
9,20,The Missionary Position,"April 10, 2012.",Tony and Ziva along with a member of the Chaplain Corps travel to Colombia to save a kidnapped fellow Chaplain while Gibbs and McGee handle the rest of the case from Washington D.C.,Arvin Brown,Allison Abner
9,21,Rekindled,"April 17, 2012.",The team join forces with members of the Baltimore Fire Department when it's revealed that a fire at a warehouse where Navy documents are stored could have potential national security issues while Tony is reunited with the boy from Baltimore.,Mark Horowitz,Christopher J. Waild & Reed Steiner
9,22,Playing with Fire,"May 1, 2012.",NCIS investigate the explosion that happened on the USS Brewer and soon find themselves racing against time to stop another attack from occurring on the Benjamin Franklin.,Dennis Smith,George Schenck & Frank Cardea
9,23,Up in Smoke,"May 8, 2012.",NCIS investigate after a bug is discovered in the tooth of agent Ned Dorneget.,James Whitmore Jr.,Steven D. Binder
9,24,Till Death Do Us Part,"May 15, 2012.","The NCIS team search for Vance and soon, the entire Navy Yard is threatened by a potential attack, one that could cost Gibbs and his team their lives. This episode marked the final appearance of both Jonathan Cole and Samantha Ryan and was also the final episode to have Brian Dietzen (Jimmy Palmer) credited as ""Also Starring"".",Tony Wharmby,Gary Glasberg
10,1,Extreme Prejudice,"September 25, 2012.","As they recover from the efforts of Harper Dearing's attack on the Navy Yard, the NCIS team race to stop Dearing once and for all with the FBI assisting them.",Tony Wharmby,Gary Glasberg
10,2,Recovery,"October 2, 2012.",The NCIS team investigate when the body of NCIS's facilities manager is discovered while the team undergo psychological evaluations to determine how the Navy bombing has affected them.,Dennis Smith,Scott Williams
10,3,Phoenix,"October 9, 2012.","Ducky investigates the case of a Navy Commander whom he personally autopsied twelve years ago and as he takes charge of the case, the NCIS team find evidence suggesting that the supposed accidental death may have been murder while the team investigate when a Marine is dead and as the investigation unfolds, it appears that the two deaths are apparently connected.",Terrence O'Hara,Steven D. Binder
10,4,The Namesake,"October 23, 2012.",The NCIS team investigate the murder of a Petty Officer while Gibbs meets his namesake who is also a friend of his father's.,Tony Wharmby,Christopher J. Waild
10,5,Lost at Sea,"October 30, 2012.","The NCIS team investigate when three members of a helicopter crew wash up on a beach, the crew having spent four days adrift at sea. But what should be a simple case becomes a murder investigate when the pilot is found dead. As this happens, Ziva challenges DiNozzo and McGee to a dare.",Arvin Brown,George Schenck & Frank Cardea
10,6,Shell Shock Part 1,"November 13, 2012.",The NCIS team investigate the death of a Navy Lieutenant and discover that something much sinister is in play.,Leslie Libman,Nicole Mirante-Matthews
10,7,Shell Shock Part 2,"November 20, 2012.",The NCIS team race to stop a possible and potentially devastating terrorist attack from happening while Ziva's plans for the opera have Tony interested while Abby prepares for the NCIS Thanksgiving family dinner.,Thomas J. Wright,Gina Lucita Monreal
10,8,Gone,"November 27, 2012.",The NCIS team must find and save a kidnapped girl while trying to solve a murder case that's connected to the kidnapping while Tony is jealous after learning that Ziva is making plans with a mysterious man.,James Whitmore Jr.,Scott Williams & Reed Steiner
10,9,Devil's Trifecta,"December 11, 2012.",The NCIS team investigate an assassination attempt on the life of FBI agent Tobias Fornell with Gibbs and Fornell getting a shock when they meet their ex-wife who they discover is involved in a separate investigation altogether.,Arvin Brown,Steven D. Binder
10,10,You Better Watch Out,"December 18, 2012.",NCIS investigate when the husband of a Navy Lieutenant is found while Tony DiNozzo Sr arrives in Washington D.C. to spend Christmas with his son.,Tony Wharmby,George Schenck & Frank Cardea
10,11,Shabbat Shalom,"January 8, 2013.","A father and son out on a fishing trip discover the body of a Petty Officer, only for things to take a turn when it's discovered that the victim is actually a journalist while Ziva deals with the return of her estranged father.",Dennis Smith,Christopher J. Waild
10,12,Shiva,"January 15, 2013.","In the aftermath of the shooting that has left both Eli David and Jackie Vance dead, NCIS searches for a potential motive behind the attack while Ziva is hellbent on revenge by any means necessary.",Arvin Brown,Scott Williams & Christopher J. Waild & Gary Glasberg
10,13,Hit and Run,"January 29, 2013.",NCIS investigate the deaths of a Marine Lance Corporal and his civilian girlfriend with the case leading Abby to recall some painful memories associated with the first ever case she worked on when she was a young girl living in New Orleans.,Dennis Smith,Gina Lucita Monreal & Gary Glasberg
10,14,Canary,"February 5, 2013.",NCIS must use every trick in the book to get a renowned hacker to give them the location of the most wanted cyber terrorist in the world in the aftermath of an attack on MTAC that cost an undercover NCIS Special Agent his life.,Terrence O'Hara,Christopher J. Waild
10,15,Hereafter,"February 19, 2013.","As the NCIS team investigate the death of a Marine at Quantico, Vance uncovers new information about his wife that causes him to question everything.",Tony Wharmby,Nicole Mirante-Matthews
10,16,Detour,"February 26, 2013.",The NCIS team face a race against the clock when Ducky and Jimmy are kidnapped on the way back from a crime scene.,Mario Van Peebles,Steven D. Binder
10,17,Prime Suspect,"March 5, 2013.","As a favor for a friend, Gibbs investigates the friend's son while wondering if the son could be a possible serial killer.",James Whitmore Jr.,George Schenck & Frank Cardea
10,18,Seek,"March 19, 2013.","The team investigate when a Marine is shot dead by a sniper in Afghanistan, forcing Gibbs and McGee to head to Afghanistan to uncover the truth.",Michael Weatherly,Scott Williams
10,19,Squall,"March 26, 2013.","In the aftermath of a huge storm, NCIS border the U.S.S. Borealis to determine who is responsible for the death of the ship's doctor while McGee meets his estranged father.",Thomas J. Wright,Bill Nuss
10,20,Chasing Ghosts,"April 9, 2013.",A Navy reservist asks the NCIS team for help in finding her husband who has been kidnapped while Tony becomes concerned for Ziva and believes that she is planning something in the hope of avenging her dead father.,Arvin Brown,Nicole Mirante-Matthews
10,21,Berlin,"April 23, 2013.","As Gibbs, McGee and Abby investigate the death of a Mossad officer, Tony and Ziva head for Berlin, Germany to pursue Ilan Bodnar, the man responsible for Eli David and Jackie Vance's murders. This episode also marked the debut appearance of Orli Elbaz.",Terrence O'Hara,Scott Williams & Gina Lucita Monreal
10,22,Revenge,"April 30, 2013.",NCIS searches for Ilan Bodnar while Tony and Ziva struggle to cope in the aftermath of their car accident. This episode also marked the final appearance of Ilan Bodnar.,James Whitmore Jr.,George Schenck & Frank Cardea
10,23,Double Blind,"May 7, 2013.","As the NCIS team investigate the claims of a Petty Officer who believe he was being followed, they find themselves under investigation for their role in the Ilan Bodnar incident.",Dennis Smith,Christopher J. Waild & Steven D. Binder
10,24,Damned If You Do,"May 14, 2013.","Following Gibbs's arrest, the NCIS team must rally together to protect him and stop him from taking the fall. As this happens, they investigate the murder of a Navy SEAL.",Tony Wharmby,Gary Glasberg
11,1,Whiskey Tango Foxtrot,"September 24, 2013.","The NCIS team struggle to come to terms with the aftermath of the events of the last episode and face a huge challenge when an explosion at an event in D.C. leaves the SECNAV dead and an associate of NCIS badly injured while, DiNozzo and McGee attempt to cope with the fact that they're both civilians and things get worse when it's revealed that the Brotherhood of Doubt are not only targeting NCIS but Ziva as well.",Tony Wharmby,Gary Glasberg
11,2,"Past, Present, and Future","October 1, 2013.","As Tony heads to Israel to search for Ziva, back in D.C., Gibbs and McGee continue searching for Benham Parsa. This episode also marked the final appearance of Ziva David.",James Whitmore Jr.,Scott Williams & Gina Lucita Monreal & Gary Glasberg
11,3,Under the Radar,"October 8, 2013.","The team investigate an explosion at a Lieutenant's apartment, only to discover that the Lieutenant who washed out of aviator training is out for revenge against his former Naval classmates while McGee struggles to come to terms with the fallout that could occur after accidentally losing his badge and credentials and the team try to adjust to life without Ziva.",Dennis Smith,George Schenck & Frank Cardea
11,4,Anonymous was a Woman,"October 15, 2013.","NCIS investigate the death of a Marine Sergeant, only for McGee to discover that the supposed Sergeant is actually an Afghani immigrant. This sends both McGee and Gibbs to Afghanistan to investigate further with Gibbs recalling how his mentor supported the Afghan's women shelter.",Terrence O'Hara,Steven D. Binder
11,5,Once a Crook,"October 22, 2013.","Still struggling with Ziva's departure, DiNozzo sees a suspect from a fifteen-old case at the scene of a murdered Naval officer, prompting DiNozzo to recall his time as a Baltimore Police Department officer.",Arvin Brown,Christopher Silber
11,6,Oil and Water,"October 29, 2013.",The NCIS team investigate the bombing on board an oil rig while a mysterious prankster is targeting members of the team.,Thomas J. Wright,Jennifer Corbett
11,7,Better Angels,"November 5, 2013.","As Gibbs leaves to help his father, Tony and McGee argue over who gets point as the NCIS team attempt to solve the murder of a Marine Sergeant.",Tony Wharmby,Gina Lucita Monreal
11,8,Alibi,"November 12, 2013.",The NCIS team investigate a hit and run that resulted in the death of a Petty Officer but complications arise when the suspect's lawyer informs the team tells Gibbs that she's confident her client's alibi is solid while McGee grows suspicious of Tony's strange behavior.,Holly Dale,George Schenck & Frank Cardea
11,9,Gut Check,"November 19, 2013.",The NCIS team investigate when they discover that Secretary of the Navy Sarah Porter has been bugged. They then call on the help of a young NSA agent who two years ago predicted that a security breach would occur.,Dennis Smith,Christopher J. Waild
11,10,Devil's Triad,"December 10, 2013.",The NCIS team investigate the death of a Marine Corporal while Ellie Bishop adjusts to joining the NCIS team.,Arvin Brown,Steven D. Binder
11,11,Homesick,"December 17, 2013.",NCIS race to stop a mysterious illness plaguing children from various military families while Vance is left stunned when his estranged father-in-law pays a visit.,Terrence O'Hara,Scott Williams
11,12,Kill Chain,"January 7, 2014.",NCIS investigate the death of a Petty Officer and discover that the elusive terrorist Benham Persa has captured a drone which he intends to use as a means of striking back against the United States. This episode also marked the debut appearance of Benham Parsa and the return of Retired Lieutenant Colonel Hollis Mann after a seven year absence.,James Whitmore Jr.,Christopher Silber
11,13,Double Back,"January 14, 2014.",NCIS battle to find Parsa in the aftermath of the drone attack on the black-tie gala function while McGee struggles to cope with the aftermath and also the news that his girlfriend has been left permanently paralyzed.,Tony Wharmby,Gina Lucita Monreal
11,14,Monsters and Men,"February 4, 2014.",NCIS continue their relentless quest to bring Parsa to justice while Bishop reveals her past connection to the wanted terrorist.,Dennis Smith,Jennifer Corbett
11,15,Bulletproof,"February 25, 2014.",NCIS discover body armor in the back of a downed bakery truck but the investigation grows intense when Abby's tests reveal that the vests are actually faulty.,Leslie Libman,Christopher J. Waild
